﻿Type	Name	Price	StreetID	x	y	h	w
1	中国农业银行	NAN	NAN	360	480	120	120
0	光华楼	1000	0	300	540	60	60
0	计算中心	500	0	240	540	60	60
0	科学楼	600	0	180	540	60	60
0	逸夫楼	700	0	120	540	60	60
0	遗传楼	400	0	60	540	60	60
4	本部赠送卡片点	NAN	NAN	0	540	60	60
0	北区食堂	600	1	0	480	60	60
0	北区小花园	400	1	0	420	60	60
0	北区浴室	200	1	0	360	60	60
0	北区学生公寓	800	1	0	300	60	60
2	本部彩票店	NAN	NAN	0	180	120	120
0	现代物理所	300	2	120	180	60	60
0	立人生物楼	400	2	180	180	60	60
0	化学楼	500	2	240	180	60	60
0	恒隆物理楼	600	2	300	180	60	60
0	逸夫科技楼	600	2	360	180	60	60
0	三教	300	2	420	180	60	60
6	本部道具店	NAN	NAN	480	120	120	120
0	二教	300	3	480	60	60	60
0	曦园	500	3	480	0	60	60
0	理科图书馆	700	3	540	0	60	60
0	一教	300	3	600	0	60	60
0	子斌院	500	3	660	0	60	60
0	相辉堂	800	3	720	0	60	60
0	保卫处	900	3	780	0	60	60
0	燕园	500	3	840	0	60	60
3	南区大新闻	NAN	NAN	900	0	60	120
0	皇冠假日酒店	700	4	900	120	60	60
0	复华科技楼	400	4	900	180	60	60
7	校医院	NAN	NAN	840	240	120	120
5	赠送点券①号点	NAN	NAN	780	300	60	60
5	赠送点券②号点	NAN	NAN	720	300	60	60
5	赠送点券③号点	NAN	NAN	660	300	60	60
0	南区食堂	600	5	600	300	60	60
0	南区学生活动中心	500	5	540	300	60	60
0	南区浴室	200	5	480	300	60	60
0	南区学生公寓	800	5	420	300	60	60
0	六教	300	5	420	360	60	60
0	五教	300	5	420	420	60	60
