Type	Name	i	j	Price	StreetID
1	中国农业银行	0	5
0	光华楼	0	6	1000	0
0	计算中心	0	7	500	0
0	科学楼	0	8	600	0
0	逸夫楼	0	9	700	0
0	遗传楼	0	10	400	0
2	北区彩票店	0	11
0	北区食堂	1	11	600	1
0	北区小花园	2	11	400	1
0	北区浴室	3	11	200	1
0	北区学生公寓	4	11	800	1
3	本部大新闻	5	11
0	现代物理所	5	12	300	2
0	立人生物楼	5	13	400	2
0	化学楼	5	14	500	2
0	恒隆物理楼	5	15	600	2
4	本部赠送卡片点	5	16
0	逸夫科技楼	6	16	600	3
0	三教	7	16	300	3
0	二教	8	16	300	3
0	曦园	9	16	500	3
5	赠送点券①号点	10	16
5	赠送点券②号点	10	15
5	赠送点券③号点	10	14
5	赠送点券④号点	10	13
5	赠送点券⑤号点	10	12
6	本部道具店	10	11
0	理科图书馆	11	11	700	4
0	一教	12	11	300	4
0	子斌院	13	11	500	4
0	相辉堂	14	11	800	4
7	相草大空地	15	11
0	校医院	15	10	900	5
0	燕园	15	9	500	5
0	皇冠假日酒店	15	8	700	5
0	复华科技楼	15	7	400	5
0	正大体育馆	15	6	800	5
2	南区彩票店	15	5
0	游泳馆	14	5	500	6
0	田径场	13	5	300	6
0	南区食堂	12	5	600	6
0	南区学生活动中心	11	5	500	6
3	南区大新闻	10	5
0	南区浴室	10	4	200	7
0	南区学生公寓	10	3	800	7
0	六教	10	2	300	7
0	五教	10	1	300	7
4	南区赠送卡片点	10	0
0	文科图书馆	9	0	800	8
0	李达三楼	8	0	400	8
0	卿云楼	7	0	300	8
0	屠海鸣图书馆	6	0	600	8
5	赠送点券⑥号点	5	0
5	赠送点券⑦号点	5	1
5	赠送点券⑧号点	5	2
5	赠送点券⑨号点	5	3
5	赠送点券⑩号点	5	4
6	东区道具店	5	5
0	东区艺教中心	4	5	500	9
0	东区浴室	3	5	200	9
0	东区学生公寓	2	5	700	9
0	旦苑餐厅	1	5	600	9
